Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,X10
APY,Apergy Corporation,29.2,2261827503.2,,2018,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/apy,
APPF,"AppFolio, Inc.",94.96,3232771139.84,,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/appf,
APPN,Appian Corporation,49,3179326486,,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/appn,
AAPL,Apple Inc.,214.17,967872780600,,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl,
AMAT,"Applied Materials, Inc.",50.66,46797365278.96,,1972,Technology,Semiconductors,https://www.nasdaq.com/symbol/amat,
AAOI,"Applied Optoelectronics, Inc.",10.58,211906068.82,,2013,Technology,Semiconductors,https://www.nasdaq.com/symbol/aaoi,
AQ,Aquantia Corp.,13.15,474522128.95,,2017,Technology,Semiconductors,https://www.nasdaq.com/symbol/aq,
ANET,"Arista Networks, Inc.",231.13,17714797521.26,,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/anet,
ARW,"Arrow Electronics, Inc.",74.22,6170678112.96,,,Technology,Electronic Components,https://www.nasdaq.com/symbol/arw,
ASX,"ASE Technology Holding Co., Ltd.",4.51,9585614731.66,,2018,Technology,Semiconductors,https://www.nasdaq.com/symbol/asx,
ASGN,ASGN Incorporated,65,3438500000,,1992,Technology,Professional Services,https://www.nasdaq.com/symbol/asgn,
ASML,ASML Holding N.V.,241.33,17661761630.98,73185106,1995,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/asml,
AZPN,"Aspen Technology, Inc.",125.54,8657749724.42,,1994,Technology,EDP Services,https://www.nasdaq.com/symbol/azpn,
ALOT,"AstroNova, Inc.",15.57,109114995.96,,1983,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/alot,
ASUR,Asure Software Inc,6.47,100617946.2,,,Technology,EDP Services,https://www.nasdaq.com/symbol/asur,
TEAM,Atlassian Corporation Plc,126.27,30556850703.75,,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/team,
ATOM,Atomera Incorporated,3.7,63173692.7,,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/atom,
AUO,AU Optronics Corp,2.57,2473430993.27,,2002,Technology,Semiconductors,https://www.nasdaq.com/symbol/auo,
AEYE,"AudioEye, Inc.",4.12,31577406.28,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aeye,
JG,Aurora Mobile Limited,3.44,126402445.68,36744897,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/jg,
ADSK,"Autodesk, Inc.",151.02,33166948971.6,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adsk,
ATHM,Autohome Inc.,93.78,11071324034.1,,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/athm,
ADP,"Automatic Data Processing, Inc.",168.05,72924093757.85,,,Technology,EDP Services,https://www.nasdaq.com/symbol/adp,
AUTO,"AutoWeb, Inc.",2.51,32998545.81,,,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/auto,
AVLR,"Avalara, Inc.",74.8,5646893678.8,,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/avlr,
AVNW,"Aviat Networks, Inc.",14.33,76878314.83,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/avnw,
AVID,"Avid Technology, Inc.",6.81,292529753.91,,1993,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/avid,
AVT,"Avnet, Inc.",44.23,4583106894.33,,,Technology,Electronic Components,https://www.nasdaq.com/symbol/avt,
AWRE,"Aware, Inc.",2.8959,62472520.9332,,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/awre,
ACLS,"Axcelis Technologies, Inc.",16.36,528952567.04,,2000,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls,
AXTI,AXT Inc,3.8,152777411.6,,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/axti,
BOSC,B.O.S. Better Online Solutions,2.6991,11494066.0671,,,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/bosc,
BIDU,"Baidu, Inc.",105.06,29276520736.2,278664770,2005,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/bidu,
BAND,Bandwidth Inc.,80.37,1879834046.76,,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/band,
BBSI,"Barrett Business Services, Inc.",86.82,648526299.6,,1993,Technology,Professional Services,https://www.nasdaq.com/symbol/bbsi,
BHE,"Benchmark Electronics, Inc.",28.14,1058836808.82,,,Technology,Electrical Products,https://www.nasdaq.com/symbol/bhe,
BNFT,"Benefitfocus, Inc.",24.24,792575207.28,,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bnft,
BGSF,BG Staffing Inc,19.03,194766683.54,,,Technology,Professional Services,https://www.nasdaq.com/symbol/bgsf,
BILI,Bilibili Inc.,14.34,2060119834.14,143662471,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/bili,
BKYI,"BIO-key International, Inc.",0.62,8926149.3,,,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/bkyi,
BITA,Bitauto Holdings Limited,12.64,886905533.28,,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/bita,
BKTI,BK Technologies Corporation,3.75,47669842.5,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/bkti,
BKI,"Black Knight, Inc.",63.1,9437995093,,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bki,
BLKB,"Blackbaud, Inc.",89.73,4412336180.94,,2004,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/blkb,
BB,BlackBerry Limited,6.98,3827384582,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bb,
BL,"BlackLine, Inc.",47.77,2642730936.83,,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bl,
BDR,"Blonder Tongue Laboratories, Inc.",0.633,6090546.228,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/bdr,
BRQS,"Borqs Technologies, Inc.",1.9,59476365,,2015,Technology,EDP Services,https://www.nasdaq.com/symbol/brqs,
EPAY,"Bottomline Technologies, Inc.",40.66,1770377019.34,,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/epay,
BOX,"Box, Inc.",17.7,2593059133.2,,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/box,
BLIN,"Bridgeline Digital, Inc.",2.14,5979819.12,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/blin,
BCOV,Brightcove Inc.,10.89,416854563.84,,2012,Technology,EDP Services,https://www.nasdaq.com/symbol/bcov,
AVGO,Broadcom Inc.,292.61,116480309073.36,,2009,Technology,Semiconductors,https://www.nasdaq.com/symbol/avgo,
BVSN,"BroadVision, Inc.",1.3467,6815672.9406,,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bvsn,
BRKS,"Brooks Automation, Inc.",35.72,2579855782.32,,1995,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/brks,
CCMP,Cabot Microelectronics Corporation,131.86,3828737726.1,,2000,Technology,Semiconductors,https://www.nasdaq.com/symbol/ccmp,
CACI,"CACI International, Inc.",219.5,5461499347,,,Technology,EDP Services,https://www.nasdaq.com/symbol/caci,
CDNS,"Cadence Design Systems, Inc.",68.41,19165266730,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cdns,
CAI,"CAI International, Inc.",22.65,394553600.25,,,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/cai,
CAMP,CalAmp Corp.,10.81,363536992.14,,1983,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/camp,
CMBM,Cambium Networks Corporation,10.7,274265032.2,,2019,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/cmbm,
CSIQ,Canadian Solar Inc.,21.41,1268772550.45,,2006,Technology,Semiconductors,https://www.nasdaq.com/symbol/csiq,
CANG,Cango Inc.,5.2,787305719.2,,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cang,
CBLK,"Carbon Black, Inc.",26.01,1931280604.65,,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cblk,
CARB,"Carbonite, Inc.",14.82,514101531.84,,2011,Technology,EDP Services,https://www.nasdaq.com/symbol/carb,
CDLX,"Cardlytics, Inc.",38.27,874165559.66,,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/cdlx,
CARG,"CarGurus, Inc.",33.87,3779258631,,2017,Technology,EDP Services,https://www.nasdaq.com/symbol/carg,
CARS,Cars.com Inc.,8.94,596046383.7,,2017,Technology,EDP Services,https://www.nasdaq.com/symbol/cars,
CASA,"Casa Systems, Inc.",6.75,567208588.5,,2017,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/casa,
CSLT,"Castlight Health, inc.",1.49,216423987.02,,2014,Technology,EDP Services,https://www.nasdaq.com/symbol/cslt,
CLS,"Celestica, Inc.",7.3,801706549.5,,1998,Technology,Electrical Products,https://www.nasdaq.com/symbol/cls,
CRNT,Ceragon Networks Ltd.,2.4,192552319.2,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/crnt,
CDAY,Ceridian HCM Holding Inc.,52.7,7357912235.6,,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cday,
CERN,Cerner Corporation,66.5,21173197608.5,,1986,Technology,EDP Services,https://www.nasdaq.com/symbol/cern,
CEVA,"CEVA, Inc.",31.31,687723022.84,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/ceva,
CHNG,Change Healthcare Inc.,11.99,1496956895.5,,2019,Technology,EDP Services,https://www.nasdaq.com/symbol/chng,
CHNGU,Change Healthcare Inc.,48.44,0,,2019,Technology,EDP Services,https://www.nasdaq.com/symbol/chngu,
CYOU,Changyou.com Limited,8.84,172963935.04,19566056,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cyou,
ECOM,ChannelAdvisor Corporation,9.24,259114280.04,,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ecom,
CHKP,Check Point Software Technologies Ltd.,109.89,16729599534.12,,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/chkp,
CMCM,Cheetah Mobile Inc.,4.17,597704110.23,,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cmcm,
CVR,Chicago Rivet & Machine Co.,27.1951,26274056.3532,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cvr,
CIH,China Index Holdings Limited,3.5,221881142,63394612,,Technology,EDP Services,https://www.nasdaq.com/symbol/cih,
CNET,"ChinaNet Online Holdings, Inc.",1.33,21828682.19,,,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/cnet,
IMOS,ChipMOS TECHNOLOGIES INC.,20.48,101076500.48,4935376,,Technology,Semiconductors,https://www.nasdaq.com/symbol/imos,
CRUS,"Cirrus Logic, Inc.",54.62,3175634765.44,,1989,Technology,Semiconductors,https://www.nasdaq.com/symbol/crus,
CSCO,"Cisco Systems, Inc.",48.58,207958009528.64,,1990,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/csco,
CISN,Cision Ltd.,7.44,1103980434.48,,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cisn,
CTXS,"Citrix Systems, Inc.",94.97,12431773671.61,,1995,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ctxs,
CCC,Clarivate Analytics Plc,16.94,5171539436.14,,2019,Technology,EDP Services,https://www.nasdaq.com/symbol/ccc,
CLDR,"Cloudera, Inc.",8.76,2402057638.68,,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cldr,
CLPS,CLPS Incorporation,5.02,69844269.02,,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/clps,
CTSH,Cognizant Technology Solutions Corporation,64.18,35446040487.52,,1998,Technology,EDP Services,https://www.nasdaq.com/symbol/ctsh,
CCNI,"Command Center, Inc.",6.88,89934300.48,,,Technology,Professional Services,https://www.nasdaq.com/symbol/ccni,
COMM,"CommScope Holding Company, Inc.",12,2329269396,,2013,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/comm,
CVLT,"Commvault Systems, Inc.",45.87,2072384169.57,,2006,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cvlt,
CPSI,"Computer Programs and Systems, Inc.",21.64,310646095.2,,2002,Technology,EDP Services,https://www.nasdaq.com/symbol/cpsi,
CTG,"Computer Task Group, Incorporated",5.26,75974992.9,,,Technology,EDP Services,https://www.nasdaq.com/symbol/ctg,
CMTL,Comtech Telecommunications Corp.,27.64,667171058.48,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/cmtl,
AWSM,Cool Holdings Inc.,1.7,15212907.3,,,Technology,Electronic Components,https://www.nasdaq.com/symbol/awsm,
CTK,CooTek (Cayman) Inc.,5.01,318664176.24,,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/ctk,
CLGX,"CoreLogic, Inc.",47.84,3833624959.84,,,Technology,EDP Services,https://www.nasdaq.com/symbol/clgx,
CSOD,"Cornerstone OnDemand, Inc.",53.78,3263440959.36,,2011,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/csod,
CPAH,CounterPath Corporation,1.12,6666472.96,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cpah,
COUP,Coupa Software Incorporated,136.88,8455185324.56,,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/coup,
CRAY,Cray Inc,34.95,1447429994.7,,,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/cray,
CREX,"Creative Realities, Inc.",1.95,18998432.7,,,Technology,EDP Services,https://www.nasdaq.com/symbol/crex,
CREXW,"Creative Realities, Inc.",0.3,0,,,Technology,EDP Services,https://www.nasdaq.com/symbol/crexw,
CREE,"Cree, Inc.",47.02,5029989796.76,,1993,Technology,Semiconductors,https://www.nasdaq.com/symbol/cree,
CRTO,Criteo S.A.,19.13,1209392325.36,63219672,2013,Technology,Advertising,https://www.nasdaq.com/symbol/crto,
CCRN,"Cross Country Healthcare, Inc.",10.56,389561525.76,,2001,Technology,Professional Services,https://www.nasdaq.com/symbol/ccrn,
CRWD,"CrowdStrike Holdings, Inc.",67.1,482673852.1,,2019,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/crwd,
CSGS,"CSG Systems International, Inc.",53.11,1753038840.78,,1996,Technology,EDP Services,https://www.nasdaq.com/symbol/csgs,
CSPI,CSP Inc.,13.5713,56371678.8046,,1982,Technology,EDP Services,https://www.nasdaq.com/symbol/cspi,
CTS,CTS Corporation,30.2,986597790.2,,,Technology,Electrical Products,https://www.nasdaq.com/symbol/cts,
CUI,"CUI Global, Inc.",0.69,19789379.4,,,Technology,Electronic Components,https://www.nasdaq.com/symbol/cui,
CW,Curtiss-Wright Corporation,128.64,5496799806.72,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cw,
CVV,CVD Equipment Corporation,3.66,23993386.2,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cvv,
CYBR,CyberArk Software Ltd.,107.4,4053341191.8,,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cybr,
CY,Cypress Semiconductor Corporation,23.19,8564423801.34,,1986,Technology,Semiconductors,https://www.nasdaq.com/symbol/cy,
CYRN,CYREN Ltd.,1.77,96485013.39,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cyrn,
DQ,DAQO New Energy Corp.,48.27,641083041.3,,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/dq,
DTSS,Datasea Inc.,1,20943846,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dtss,
DELL,Dell Technologies Inc.,54.29,39010857312.83,,2018,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/dell,
DGII,Digi International Inc.,13.19,371121068.12,,1989,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/dgii,
DMRC,Digimarc Corporation,38.53,479052968.38,,,Technology,EDP Services,https://www.nasdaq.com/symbol/dmrc,
DGLY,"Digital Ally, Inc.",1.53,17768566.26,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/dgly,
DIOD,Diodes Incorporated,39.32,2005169089.84,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/diod,
DLHC,DLH Holdings Corp.,4.15,49950068.15,,,Technology,Professional Services,https://www.nasdaq.com/symbol/dlhc,
DOCU,"DocuSign, Inc.",58.57,10179466000,,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/docu,
DOMO,"Domo, Inc.",15.95,436579492.25,,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/domo,
DOYU,DouYu International Holdings Limited,9.78,659045935.8,67387110,2019,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/doyu,
DOV,Dover Corporation,95.53,13893669690.45,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dov,
DBX,"Dropbox, Inc.",19.48,8052746695.92,,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dbx,
DSPG,"DSP Group, Inc.",13.53,310132725.21,,1994,Technology,Semiconductors,https://www.nasdaq.com/symbol/dspg,
DXC,DXC Technology Company,34.96,9158208195.92,,,Technology,EDP Services,https://www.nasdaq.com/symbol/dxc,
DT,"Dynatrace, Inc.",21.51,5926821067.89,,2019,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dt,
ETN,"Eaton Corporation, PLC",84.85,35637000000,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/etn,
EBIX,"Ebix, Inc.",38.5,1173827231.5,,,Technology,EDP Services,https://www.nasdaq.com/symbol/ebix,
SATS,EchoStar Corporation,44.17,4302442013.1,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/sats,
SATSV,EchoStar Corporation,35.55,3462798586.5,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/satsv,
EGAN,eGain Corporation,8.23,249519279.8,,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/egan,
ESTC,Elastic N.V.,84.99,6503869608.84,,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/estc,
EA,Electronic Arts Inc.,98.68,29081735211.88,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ea,
ELTK,Eltek Ltd.,4.12,18046704.16,,1997,Technology,Electrical Products,https://www.nasdaq.com/symbol/eltk,
EMAN,eMagin Corporation,0.4249,20893936.1477,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/eman,
EMKR,EMCORE Corporation,2.91,83691931.74,,1997,Technology,Semiconductors,https://www.nasdaq.com/symbol/emkr,
DAVA,Endava plc,36.7,1991196227.6,,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/dava,
EIGI,"Endurance International Group Holdings, Inc.",5.67,828133193.79,,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/eigi,
WATT,Energous Corporation,3.62,110907822.4,,2014,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/watt,
ERII,"Energy Recovery, Inc.",10,549646370,,2008,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/erii,
ENPH,"Enphase Energy, Inc.",23.8,2903002739,,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/enph,
EVSI,"Envision Solar International, Inc.",5,25571480,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/evsi,
EVSIW,"Envision Solar International, Inc.",1.25,0,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/evsiw,
EPAM,"EPAM Systems, Inc.",193.48,10612433915.72,,2012,Technology,EDP Services,https://www.nasdaq.com/symbol/epam,
PLUS,ePlus inc.,83.84,1132346980.48,,1996,Technology,Retail: Computer Software & Peripheral Equipment,https://www.nasdaq.com/symbol/plus,
ERIC,Ericsson,7.94,2536861299.48,319503942,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/eric,
EB,"Eventbrite, Inc.",17.49,1448754906.72,,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/eb,
EVBG,"Everbridge, Inc.",69.92,2346744887.2,,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/evbg,
EVER,"EverQuote, Inc.",21.35,550960149.6,,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/ever,
MRAM,"Everspin Technologies, Inc.",6.63,113714299.14,,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/mram,
EVTC,"Evertec, Inc.",35.69,2567164033.45,,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/evtc,
